timestamp,spora-id,latitude,longitude,NO,NO2,O3,CO,BME680_pressure,BME680_humidity,BME680_temperature
1550636934,2,60.162872,24.923164,0.009,0.009,0.0002,0.061,99055,23.76,29.35
1550636935,2,60.162838,24.923223,0.011,0.011,0.0001,0.055,99050,23.76,29.35
1550636936,2,60.162811,24.923281,0.011,0.011,0.0001,0.054,99048,23.75,29.35
1550636937,2,60.162781,24.923323,0.011,0.011,0,0.053,99048,23.77,29.36
1550636938,2,60.16275,24.923347,0.011,0.011,0,0.034,99058,23.75,29.35
1550636939,2,60.162735,24.923365,0.012,0.012,0,0.015,99061,23.76,29.36
1550636940,2,60.162724,24.923376,0.011,0.011,0.0001,0.034,99066,23.76,29.36
1550636941,2,60.162727,24.92338,0.011,0.011,0.0001,0.053,99065,23.75,29.37
1550636942,2,60.162735,24.923378,0.011,0.011,0.0003,0.053,99064,23.75,29.37
1550636943,2,60.162743,24.923378,0.011,0.011,0.0003,0.053,99066,23.75,29.37
1550636944,2,60.16275,24.92338,0.007,0.007,0.0004,0.053,99061,23.73,29.38
1550636945,2,60.162758,24.923388,0.007,0.007,0.0004,0.055,99059,23.73,29.37
1550636946,2,60.162762,24.923393,0.007,0.007,0.0004,0.055,99059,23.7,29.37
1550636947,2,60.162762,24.923393,0.007,0.007,0.0005,0.097,99062,23.72,29.38
1550636948,2,60.162762,24.923393,0.011,0.011,0.0005,0.108,99061,23.73,29.38
1550636949,2,60.162762,24.923393,0.011,0.011,0.0005,0.108,99060,23.72,29.38
1550636950,2,60.162762,24.923393,0.011,0.011,0.0007,0.108,99058,23.73,29.38
1550636951,2,60.162762,24.923393,0.009,0.009,0.0009,0.108,99059,23.71,29.38
1550636952,2,60.162762,24.923393,0.005,0.005,0.0011,0.108,99055,23.71,29.38
1550636953,2,60.162758,24.923409,0.004,0.004,0.0013,0.108,99053,23.7,29.38
1550636954,2,60.162743,24.923452,0.004,0.004,0.0013,0.113,99052,23.7,29.39
1550636955,2,60.162727,24.923487,0.004,0.004,0.0015,0.108,99050,23.69,29.39
1550636956,2,60.162712,24.923515,0.004,0.004,0.0016,0.113,99049,23.7,29.39
1550636957,2,60.162697,24.923534,0.004,0.004,0.0016,0.108,99054,23.67,29.39
1550636958,2,60.162682,24.923561,0.002,0.002,0.0016,0.108,99050,23.7,29.39
1550636959,2,60.16267,24.923597,0.002,0.002,0.0016,0.097,99052,23.68,29.39
1550636960,2,60.162651,24.923626,0.002,0.002,0.0015,0.097,99053,23.67,29.39
1550636961,2,60.162594,24.92359,0.002,0.002,0.0014,0.097,99049,23.67,29.39
1550636962,2,60.162552,24.923573,0.002,0.002,0.0014,0.097,99050,23.68,29.39
1550636963,2,60.162518,24.923548,0,0,0.001,0.097,99051,23.66,29.39
1550636964,2,60.162472,24.923521,0,0,0.0008,0.097,99048,23.66,29.4
1550636965,2,60.162445,24.923487,0,0,0.0007,0.097,99048,23.69,29.4
1550636966,2,60.162422,24.923445,0,0,0.0005,0.097,99050,23.66,29.4
1550636967,2,60.162407,24.923428,0.002,0.002,0.0004,0.097,99049,23.66,29.41
1550636968,2,60.162403,24.92341,0.002,0.002,0.0002,0.097,99047,23.67,29.4
1550636969,2,60.162403,24.923388,0.002,0.002,-0.0001,0.088,99048,23.65,29.41
1550636970,2,60.162403,24.923367,0.002,0.002,-0.0001,0.088,99047,23.64,29.4
1550636971,2,60.162403,24.923347,0.002,0.002,-0.0001,0.084,99045,23.65,29.4
1550636972,2,60.162403,24.923347,0,0,-0.0002,0.079,99048,23.65,29.41
1550636973,2,60.162403,24.923347,0,0,-0.0002,0.077,99047,23.65,29.41
1550636974,2,60.162403,24.923347,0.006,0.006,-0.0004,0.077,99046,23.64,29.41
1550636975,2,60.162403,24.923347,0.006,0.006,-0.0006,0.042,99047,23.65,29.41
1550636976,2,60.162403,24.923347,0.006,0.006,-0.0006,0.042,99048,23.65,29.41
1550636977,2,60.162403,24.923347,0.007,0.007,-0.0006,0.037,99051,23.65,29.41
1550636978,2,60.162403,24.923347,0.007,0.007,-0.0006,0.014,99050,23.65,29.41
1550636979,2,60.162403,24.923347,0.007,0.007,-0.0007,0.009,99048,23.65,29.42
1550636980,2,60.162403,24.923347,0.007,0.007,-0.0007,0.007,99051,23.64,29.42
1550636981,2,60.162403,24.923347,0.007,0.007,-0.0007,0.007,99049,23.64,29.42
1550636982,2,60.162403,24.923347,0.01,0.01,-0.0007,0.007,99046,23.64,29.42
1550636983,2,60.162403,24.923347,0.007,0.007,-0.0007,0.014,99047,23.64,29.42
1550636984,2,60.162403,24.923347,0.007,0.007,-0.0006,0.037,99048,23.63,29.42
1550636985,2,60.162403,24.923347,0.01,0.01,-0.0006,0.037,99047,23.64,29.42
1550636986,2,60.162403,24.923347,0.01,0.01,-0.0006,0.054,99048,23.62,29.42
1550636987,2,60.162403,24.923347,0.012,0.012,-0.0005,0.054,99049,23.64,29.42
1550636988,2,60.162403,24.923347,0.015,0.015,-0.0005,0.054,99046,23.63,29.43
1550636989,2,60.162403,24.923347,0.015,0.015,-0.0004,0.054,99047,23.62,29.42
1550636990,2,60.162403,24.923347,0.015,0.015,-0.0003,0.055,99045,23.61,29.42
1550636991,2,60.162403,24.923347,0.015,0.015,-0.0002,0.065,99047,23.61,29.42
1550636992,2,60.162403,24.923347,0.015,0.015,-0.0002,0.066,99045,23.61,29.42
1550636993,2,60.162403,24.923347,0.012,0.012,-0.0001,0.07,99045,23.61,29.43
1550636994,2,60.162403,24.923347,0.01,0.01,0,0.088,99045,23.61,29.42
1550636995,2,60.162403,24.923347,0.01,0.01,0,0.116,99047,23.61,29.42
1550636996,2,60.162403,24.923347,0.007,0.007,0.0001,0.12,99048,23.6,29.43
1550636997,2,60.162403,24.923347,0.006,0.006,0.0002,0.12,99048,23.6,29.43
1550636998,2,60.162403,24.923347,0.006,0.006,0.0002,0.119,99044,23.59,29.43
1550636999,2,60.162403,24.923347,0.007,0.007,0.0002,0.119,99043,23.58,29.43
1550637000,2,60.162403,24.92322,0.007,0.007,-0.0001,0.119,99045,23.59,29.43
1550637001,2,60.162388,24.923185,0.007,0.007,-0.0001,0.124,99047,23.58,29.43
